,participant,participant_code,card_no,correct_card,correct_persevering,seq_no,rule,card_shape,card_number,card_colour,reaction_time_ms,status,card_selected,error,perseverance_error,not_perseverance_error
0,816404.0,s.6463d918-7e29-49b0-942d-f1a9faab6ad6.txt,52,1,0,1,shape,triangle,1,yellow,3775,1,1,0,0,0
1,816404.0,s.6463d918-7e29-49b0-942d-f1a9faab6ad6.txt,59,3,0,2,shape,triangle,3,red,3771,1,3,0,0,0
2,816404.0,s.6463d918-7e29-49b0-942d-f1a9faab6ad6.txt,23,2,0,3,shape,cross,2,red,1359,1,2,0,0,0
3,816404.0,s.6463d918-7e29-49b0-942d-f1a9faab6ad6.txt,52,1,0,4,shape,triangle,1,yellow,1209,1,1,0,0,0
4,816404.0,s.6463d918-7e29-49b0-942d-f1a9faab6ad6.txt,52,1,0,5,shape,triangle,1,yellow,953,1,1,0,0,0
5,816404.0,s.6463d918-7e29-49b0-942d-f1a9faab6ad6.txt,60,3,0,6,shape,triangle,3,yellow,1741,1,3,0,0,0
6,816404.0,s.6463d918-7e29-49b0-942d-f1a9faab6ad6.txt,61,4,0,7,shape,triangle,4,blue,2684,1,4,0,0,0
7,816404.0,s.6463d918-7e29-49b0-942d-f1a9faab6ad6.txt,10,3,0,8,shape,circle,3,green,1484,1,3,0,0,0
8,816404.0,s.6463d918-7e29-49b0-942d-f1a9faab6ad6.txt,24,2,0,9,shape,cross,2,yellow,1658,1,2,0,0,0
9,816404.0,s.6463d918-7e29-49b0-942d-f1a9faab6ad6.txt,43,3,0,10,shape,star,3,red,1469,1,3,0,0,0
10,816404.0,s.6463d918-7e29-49b0-942d-f1a9faab6ad6.txt,60,2,2,1,number,triangle,3,yellow,1816,2,3,1,0,1
11,816404.0,s.6463d918-7e29-49b0-942d-f1a9faab6ad6.txt,43,4,4,2,number,star,3,red,3643,2,3,1,0,1
12,816404.0,s.6463d918-7e29-49b0-942d-f1a9faab6ad6.txt,63,2,2,3,number,triangle,4,red,1011,2,1,1,0,1
13,816404.0,s.6463d918-7e29-49b0-942d-f1a9faab6ad6.txt,5,1,1,4,number,circle,2,blue,1668,1,1,0,0,0
14,816404.0,s.6463d918-7e29-49b0-942d-f1a9faab6ad6.txt,8,1,1,5,number,circle,2,yellow,1066,1,1,0,0,0
15,816404.0,s.6463d918-7e29-49b0-942d-f1a9faab6ad6.txt,63,2,2,6,number,triangle,4,red,2641,1,2,0,0,0
16,816404.0,s.6463d918-7e29-49b0-942d-f1a9faab6ad6.txt,60,2,2,7,number,triangle,3,yellow,1079,1,2,0,0,0
17,816404.0,s.6463d918-7e29-49b0-942d-f1a9faab6ad6.txt,12,1,1,8,number,circle,3,yellow,1022,1,1,0,0,0
18,816404.0,s.6463d918-7e29-49b0-942d-f1a9faab6ad6.txt,52,2,2,9,number,triangle,1,yellow,1577,1,2,0,0,0
19,816404.0,s.6463d918-7e29-49b0-942d-f1a9faab6ad6.txt,24,2,2,1,color,cross,2,yellow,1716,2,3,1,0,1
20,816404.0,s.6463d918-7e29-49b0-942d-f1a9faab6ad6.txt,59,3,3,2,color,triangle,3,red,974,2,1,1,0,1
21,816404.0,s.6463d918-7e29-49b0-942d-f1a9faab6ad6.txt,60,3,3,3,color,triangle,3,yellow,1333,2,2,1,0,1
22,816404.0,s.6463d918-7e29-49b0-942d-f1a9faab6ad6.txt,20,1,1,4,color,cross,1,yellow,1569,2,4,1,0,1
23,816404.0,s.6463d918-7e29-49b0-942d-f1a9faab6ad6.txt,23,2,2,5,color,cross,2,red,1331,1,2,0,0,0
24,816404.0,s.6463d918-7e29-49b0-942d-f1a9faab6ad6.txt,61,4,4,6,color,triangle,4,blue,1589,1,4,0,0,0
25,816404.0,s.6463d918-7e29-49b0-942d-f1a9faab6ad6.txt,59,3,3,7,color,triangle,3,red,2333,2,1,1,0,1
26,816404.0,s.6463d918-7e29-49b0-942d-f1a9faab6ad6.txt,13,4,4,8,color,circle,4,blue,1178,2,1,1,0,1
27,816404.0,s.6463d918-7e29-49b0-942d-f1a9faab6ad6.txt,52,1,4,1,shape,triangle,1,yellow,1109,1,1,0,0,0
28,816404.0,s.6463d918-7e29-49b0-942d-f1a9faab6ad6.txt,12,3,4,2,shape,circle,3,yellow,1630,1,3,0,0,0
29,816404.0,s.6463d918-7e29-49b0-942d-f1a9faab6ad6.txt,18,1,2,3,shape,cross,1,green,1000,1,1,0,0,0
30,816404.0,s.6463d918-7e29-49b0-942d-f1a9faab6ad6.txt,33,1,3,4,shape,star,1,blue,903,1,1,0,0,0
31,816404.0,s.6463d918-7e29-49b0-942d-f1a9faab6ad6.txt,61,4,3,5,shape,triangle,4,blue,2518,1,4,0,0,0
32,816404.0,s.6463d918-7e29-49b0-942d-f1a9faab6ad6.txt,52,1,4,6,shape,triangle,1,yellow,1283,1,1,0,0,0
33,816404.0,s.6463d918-7e29-49b0-942d-f1a9faab6ad6.txt,37,2,3,7,shape,star,2,blue,2068,1,2,0,0,0
34,816404.0,s.6463d918-7e29-49b0-942d-f1a9faab6ad6.txt,59,3,1,8,shape,triangle,3,red,1428,2,2,1,0,1
35,816404.0,s.6463d918-7e29-49b0-942d-f1a9faab6ad6.txt,34,4,4,1,number,star,1,green,991,2,1,1,0,1
36,816404.0,s.6463d918-7e29-49b0-942d-f1a9faab6ad6.txt,24,3,3,2,number,cross,2,yellow,3226,2,4,1,0,1
37,816404.0,s.6463d918-7e29-49b0-942d-f1a9faab6ad6.txt,43,4,4,3,number,star,3,red,1031,2,1,1,0,1
38,816404.0,s.6463d918-7e29-49b0-942d-f1a9faab6ad6.txt,49,2,2,4,number,triangle,1,blue,1230,1,2,0,0,0
39,816404.0,s.6463d918-7e29-49b0-942d-f1a9faab6ad6.txt,63,2,2,5,number,triangle,4,red,1464,1,2,0,0,0
40,816404.0,s.6463d918-7e29-49b0-942d-f1a9faab6ad6.txt,43,4,4,6,number,star,3,red,1721,1,4,0,0,0
41,816404.0,s.6463d918-7e29-49b0-942d-f1a9faab6ad6.txt,12,1,1,7,number,circle,3,yellow,1738,1,1,0,0,0
42,816404.0,s.6463d918-7e29-49b0-942d-f1a9faab6ad6.txt,18,1,1,1,color,cross,1,green,3519,2,3,1,0,1
43,816404.0,s.6463d918-7e29-49b0-942d-f1a9faab6ad6.txt,30,4,4,2,color,cross,4,green,1848,1,4,0,0,0
44,816404.0,s.6463d918-7e29-49b0-942d-f1a9faab6ad6.txt,63,4,4,3,color,triangle,4,red,1629,1,4,0,0,0
45,816404.0,s.6463d918-7e29-49b0-942d-f1a9faab6ad6.txt,33,1,1,4,color,star,1,blue,1276,1,1,0,0,0
46,816404.0,s.6463d918-7e29-49b0-942d-f1a9faab6ad6.txt,42,3,3,5,color,star,3,green,2108,1,3,0,0,0
47,816404.0,s.6463d918-7e29-49b0-942d-f1a9faab6ad6.txt,39,4,1,1,number,star,2,red,1386,2,2,1,0,1
48,816404.0,s.6463d918-7e29-49b0-942d-f1a9faab6ad6.txt,8,1,4,2,number,circle,2,yellow,1392,2,4,1,1,0
49,816404.0,s.6463d918-7e29-49b0-942d-f1a9faab6ad6.txt,14,1,2,3,number,circle,4,green,1662,2,4,1,0,1
50,816404.0,s.6463d918-7e29-49b0-942d-f1a9faab6ad6.txt,39,4,1,4,number,star,2,red,4714,1,4,0,0,0
51,816404.0,s.6463d918-7e29-49b0-942d-f1a9faab6ad6.txt,33,4,3,5,number,star,1,blue,2507,2,1,1,0,1
52,816404.0,s.6463d918-7e29-49b0-942d-f1a9faab6ad6.txt,8,1,4,6,number,circle,2,yellow,2229,1,1,0,0,0
53,816404.0,s.6463d918-7e29-49b0-942d-f1a9faab6ad6.txt,42,3,3,1,shape,star,3,green,2439,2,4,1,0,1
54,816404.0,s.6463d918-7e29-49b0-942d-f1a9faab6ad6.txt,60,3,3,2,shape,triangle,3,yellow,3279,2,2,1,0,1
55,816404.0,s.6463d918-7e29-49b0-942d-f1a9faab6ad6.txt,8,2,2,3,shape,circle,2,yellow,2673,2,4,1,0,1
56,816404.0,s.6463d918-7e29-49b0-942d-f1a9faab6ad6.txt,30,4,4,4,shape,cross,4,green,1448,2,3,1,0,1
57,816404.0,s.6463d918-7e29-49b0-942d-f1a9faab6ad6.txt,52,1,1,5,shape,triangle,1,yellow,933,1,1,0,0,0
58,816404.0,s.6463d918-7e29-49b0-942d-f1a9faab6ad6.txt,5,2,2,6,shape,circle,2,blue,1057,2,1,1,0,1
59,816404.0,s.6463d918-7e29-49b0-942d-f1a9faab6ad6.txt,30,4,4,7,shape,cross,4,green,2138,1,4,0,0,0
60,816404.0,s.6463d918-7e29-49b0-942d-f1a9faab6ad6.txt,31,4,3,1,color,cross,4,red,5167,2,3,1,1,0
61,816404.0,s.6463d918-7e29-49b0-942d-f1a9faab6ad6.txt,5,2,1,2,color,circle,2,blue,1293,2,1,1,1,0
62,816404.0,s.6463d918-7e29-49b0-942d-f1a9faab6ad6.txt,23,2,3,3,color,cross,2,red,2034,1,2,0,0,0
63,816404.0,s.6463d918-7e29-49b0-942d-f1a9faab6ad6.txt,18,1,3,4,color,cross,1,green,1139,1,1,0,0,0
64,816404.0,s.6463d918-7e29-49b0-942d-f1a9faab6ad6.txt,20,1,3,5,color,cross,1,yellow,829,1,1,0,0,0
65,816404.0,s.6463d918-7e29-49b0-942d-f1a9faab6ad6.txt,43,3,1,1,shape,star,3,red,1396,1,3,0,0,0
66,816404.0,s.6463d918-7e29-49b0-942d-f1a9faab6ad6.txt,39,2,1,2,shape,star,2,red,3835,1,2,0,0,0
67,816404.0,s.6463d918-7e29-49b0-942d-f1a9faab6ad6.txt,14,4,2,3,shape,circle,4,green,1545,1,4,0,0,0
68,816404.0,s.6463d918-7e29-49b0-942d-f1a9faab6ad6.txt,49,1,3,4,shape,triangle,1,blue,1298,1,1,0,0,0
69,816404.0,s.6463d918-7e29-49b0-942d-f1a9faab6ad6.txt,31,4,1,5,shape,cross,4,red,1950,1,4,0,0,0
70,816404.0,s.6463d918-7e29-49b0-942d-f1a9faab6ad6.txt,43,4,4,1,number,star,3,red,1605,2,3,1,0,1
71,816404.0,s.6463d918-7e29-49b0-942d-f1a9faab6ad6.txt,49,2,2,2,number,triangle,1,blue,1013,2,1,1,0,1
72,816404.0,s.6463d918-7e29-49b0-942d-f1a9faab6ad6.txt,59,2,2,3,number,triangle,3,red,1528,2,3,1,0,1
73,816404.0,s.6463d918-7e29-49b0-942d-f1a9faab6ad6.txt,31,3,3,4,number,cross,4,red,942,2,1,1,0,1
74,816404.0,s.6463d918-7e29-49b0-942d-f1a9faab6ad6.txt,14,1,1,5,number,circle,4,green,2702,2,2,1,0,1
75,816404.0,s.6463d918-7e29-49b0-942d-f1a9faab6ad6.txt,12,1,1,6,number,circle,3,yellow,3678,1,1,0,0,0
76,816404.0,s.6463d918-7e29-49b0-942d-f1a9faab6ad6.txt,31,3,3,7,number,cross,4,red,2560,1,3,0,0,0
77,816404.0,s.6463d918-7e29-49b0-942d-f1a9faab6ad6.txt,24,2,2,1,shape,cross,2,yellow,2785,2,3,1,0,1
78,816404.0,s.6463d918-7e29-49b0-942d-f1a9faab6ad6.txt,13,4,4,2,shape,circle,4,blue,2047,1,4,0,0,0
79,816404.0,s.6463d918-7e29-49b0-942d-f1a9faab6ad6.txt,49,1,1,3,shape,triangle,1,blue,960,1,1,0,0,0
80,816404.0,s.6463d918-7e29-49b0-942d-f1a9faab6ad6.txt,10,3,3,4,shape,circle,3,green,3527,1,3,0,0,0
81,816404.0,s.6463d918-7e29-49b0-942d-f1a9faab6ad6.txt,59,3,3,5,shape,triangle,3,red,2924,1,3,0,0,0
82,816404.0,s.6463d918-7e29-49b0-942d-f1a9faab6ad6.txt,18,1,1,6,shape,cross,1,green,1239,1,1,0,0,0
83,816404.0,s.6463d918-7e29-49b0-942d-f1a9faab6ad6.txt,34,1,4,1,color,star,1,green,1065,1,1,0,0,0
84,816404.0,s.6463d918-7e29-49b0-942d-f1a9faab6ad6.txt,39,2,4,2,color,star,2,red,2156,1,2,0,0,0
85,816404.0,s.6463d918-7e29-49b0-942d-f1a9faab6ad6.txt,24,2,3,3,color,cross,2,yellow,3802,1,2,0,0,0
86,816404.0,s.6463d918-7e29-49b0-942d-f1a9faab6ad6.txt,13,4,1,4,color,circle,4,blue,3305,1,4,0,0,0
87,816404.0,s.6463d918-7e29-49b0-942d-f1a9faab6ad6.txt,39,2,4,5,color,star,2,red,1244,1,2,0,0,0
88,816404.0,s.6463d918-7e29-49b0-942d-f1a9faab6ad6.txt,42,3,2,1,shape,star,3,green,3729,1,3,0,0,0
89,816404.0,s.6463d918-7e29-49b0-942d-f1a9faab6ad6.txt,20,1,4,2,shape,cross,1,yellow,1184,1,1,0,0,0
90,816404.0,s.6463d918-7e29-49b0-942d-f1a9faab6ad6.txt,12,3,4,3,shape,circle,3,yellow,1463,1,3,0,0,0
91,816404.0,s.6463d918-7e29-49b0-942d-f1a9faab6ad6.txt,34,1,2,4,shape,star,1,green,839,1,1,0,0,0
92,816404.0,s.6463d918-7e29-49b0-942d-f1a9faab6ad6.txt,39,2,1,5,shape,star,2,red,1179,1,2,0,0,0
93,816404.0,s.6463d918-7e29-49b0-942d-f1a9faab6ad6.txt,5,2,3,6,shape,circle,2,blue,2856,1,2,0,0,0
94,816404.0,s.6463d918-7e29-49b0-942d-f1a9faab6ad6.txt,61,4,2,1,color,triangle,4,blue,2955,1,4,0,0,0
95,816404.0,s.6463d918-7e29-49b0-942d-f1a9faab6ad6.txt,61,4,2,2,color,triangle,4,blue,2598,1,4,0,0,0
96,816404.0,s.6463d918-7e29-49b0-942d-f1a9faab6ad6.txt,14,4,1,3,color,circle,4,green,1545,1,4,0,0,0
97,816404.0,s.6463d918-7e29-49b0-942d-f1a9faab6ad6.txt,14,4,1,4,color,circle,4,green,1733,1,4,0,0,0
98,816404.0,s.6463d918-7e29-49b0-942d-f1a9faab6ad6.txt,23,2,3,5,color,cross,2,red,1165,1,2,0,0,0
99,816404.0,s.6463d918-7e29-49b0-942d-f1a9faab6ad6.txt,20,1,3,6,color,cross,1,yellow,1271,1,1,0,0,0
100,221478.0,s.fa171c49-91e1-44b0-b9e3-9937dca02dca.txt,52,1,0,1,shape,triangle,1,yellow,6908,2,2,1,0,1
101,221478.0,s.fa171c49-91e1-44b0-b9e3-9937dca02dca.txt,59,3,0,2,shape,triangle,3,red,2555,2,1,1,0,1
102,221478.0,s.fa171c49-91e1-44b0-b9e3-9937dca02dca.txt,23,2,0,3,shape,cross,2,red,1477,2,1,1,0,1
103,221478.0,s.fa171c49-91e1-44b0-b9e3-9937dca02dca.txt,52,1,0,4,shape,triangle,1,yellow,1805,2,2,1,0,1
104,221478.0,s.fa171c49-91e1-44b0-b9e3-9937dca02dca.txt,52,1,0,5,shape,triangle,1,yellow,2045,2,4,1,0,1
105,221478.0,s.fa171c49-91e1-44b0-b9e3-9937dca02dca.txt,60,3,0,6,shape,triangle,3,yellow,3269,2,2,1,0,1
106,221478.0,s.fa171c49-91e1-44b0-b9e3-9937dca02dca.txt,61,4,0,7,shape,triangle,4,blue,5348,2,3,1,0,1
107,221478.0,s.fa171c49-91e1-44b0-b9e3-9937dca02dca.txt,10,3,0,8,shape,circle,3,green,1791,2,2,1,0,1
108,221478.0,s.fa171c49-91e1-44b0-b9e3-9937dca02dca.txt,24,2,0,9,shape,cross,2,yellow,2284,2,3,1,0,1
109,221478.0,s.fa171c49-91e1-44b0-b9e3-9937dca02dca.txt,43,3,0,10,shape,star,3,red,1405,2,1,1,0,1
110,221478.0,s.fa171c49-91e1-44b0-b9e3-9937dca02dca.txt,60,2,2,1,number,triangle,3,yellow,3029,2,4,1,0,1
111,221478.0,s.fa171c49-91e1-44b0-b9e3-9937dca02dca.txt,43,4,4,2,number,star,3,red,2716,1,4,0,0,0
112,221478.0,s.fa171c49-91e1-44b0-b9e3-9937dca02dca.txt,63,2,2,3,number,triangle,4,red,1882,1,2,0,0,0
113,221478.0,s.fa171c49-91e1-44b0-b9e3-9937dca02dca.txt,5,1,1,4,number,circle,2,blue,2377,2,3,1,0,1
114,221478.0,s.fa171c49-91e1-44b0-b9e3-9937dca02dca.txt,8,1,1,5,number,circle,2,yellow,2536,1,1,0,0,0
115,221478.0,s.fa171c49-91e1-44b0-b9e3-9937dca02dca.txt,63,2,2,6,number,triangle,4,red,2480,1,2,0,0,0
116,221478.0,s.fa171c49-91e1-44b0-b9e3-9937dca02dca.txt,60,2,2,7,number,triangle,3,yellow,3043,1,2,0,0,0
117,221478.0,s.fa171c49-91e1-44b0-b9e3-9937dca02dca.txt,12,1,1,8,number,circle,3,yellow,2424,1,1,0,0,0
118,221478.0,s.fa171c49-91e1-44b0-b9e3-9937dca02dca.txt,52,2,2,9,number,triangle,1,yellow,5226,1,2,0,0,0
119,221478.0,s.fa171c49-91e1-44b0-b9e3-9937dca02dca.txt,24,2,2,1,color,cross,2,yellow,2057,2,3,1,0,1
120,221478.0,s.fa171c49-91e1-44b0-b9e3-9937dca02dca.txt,59,3,3,2,color,triangle,3,red,2651,2,1,1,0,1
121,221478.0,s.fa171c49-91e1-44b0-b9e3-9937dca02dca.txt,60,3,3,3,color,triangle,3,yellow,3545,2,2,1,0,1
122,221478.0,s.fa171c49-91e1-44b0-b9e3-9937dca02dca.txt,20,1,1,4,color,cross,1,yellow,8292,2,4,1,0,1
